Gesamtbetrag_Einkuenfte,Versorgungsbezuege
65946,0.0
65932,0.0
65896,0.0
65995,0.0
65966,0.0
65815,0.0
65813,0.0
65822,0.0
65810,0.0
65819,0.0
65818,0.0
65823,0.0
65811,0.0
65811,0.0
65819,0.0
65811,0.0
65816,0.0
65818,0.0
66342,0.0
66346,0.0
66329,0.0
66339,0.0
66358,0.0
66345,0.0
66350,0.0
66320,0.0
66343,0.0
66352,0.0
66344,0.0
66336,0.0
66513,0.0
66489,0.0
66482,0.0
66498,0.0
66514,0.0
66521,0.0
66522,0.0
66519,0.0
66503,0.0
66478,0.0
66524,0.0
66200,0.0
66191,0.0
66201,0.0
66188,0.0
66186,0.0
66204,0.0
66182,0.0
66189,0.0
66187,0.0
66191,0.0
66196,0.0
66200,0.0
66197,0.0
66204,0.0
66205,0.0
64988,0.0
65014,0.0
65014,0.0
64992,0.0
65038,0.0
65034,0.0
64994,0.0
65021,0.0
65000,0.0
64999,0.0
65028,0.0
64994,0.0
65003,0.0
65064,0.0
65063,0.0
65070,0.0
65148,0.0
65153,0.0
65159,0.0
65188,0.0
65149,0.0
65189,0.0
65188,0.0
65290,0.0
65289,0.0
65275,0.0
65305,0.0
65272,0.0
65276,0.0
65260,0.0
65276,0.0
65259,0.0
65299,0.0
65291,0.0
65305,0.0
65472,0.0
65567,0.0
65514,0.0
65501,0.0
65544,0.0
65657,0.0
65643,0.0
65674,0.0
65649,0.0
65635,0.0
65660,0.0
65640,0.0
67770,0.0
67656,0.0
67797,0.0
67738,0.0
67775,0.0
67435,0.0
67432,0.0
67445,0.0
67475,0.0
67434,0.0
67467,0.0
67466,0.0
67450,0.0
67434,0.0
67430,0.0
67471,0.0
67436,0.0
67457,0.0
68043,0.0
68049,0.0
68033,0.0
68018,0.0
68031,0.0
68049,0.0
68117,0.0
68019,0.0
68107,0.0
68021,0.0
68031,0.0
67830,0.0
67855,0.0
67905,0.0
67833,0.0
66606,0.0
66605,0.0
66607,0.0
66623,0.0
66611,0.0
66615,0.0
66623,0.0
66583,0.0
66667,0.0
66639,0.0
66634,0.0
66643,0.0
66706,0.0
66710,0.0
66745,0.0
66753,0.0
66777,0.0
66782,0.0
66784,0.0
66777,0.0
66824,0.0
66808,0.0
66787,0.0
66843,0.0
66808,0.0
66757,0.0
67272,0.0
67370,0.0
67288,0.0
67329,0.0
67276,0.0
67314,0.0
67131,0.0
67077,0.0
67077,0.0
67157,0.0
67156,0.0
67097,0.0
67141,0.0
67075,0.0
67081,0.0
61880,0.0
61887,0.0
61881,0.0
61908,0.0
61928,0.0
61913,0.0
61946,0.0
61961,0.0
61934,0.0
61858,0.0
61892,0.0
61939,0.0
62094,0.0
62067,0.0
62088,0.0
62067,0.0
62115,0.0
62243,0.0
62189,0.0
62193,0.0
62244,0.0
62267,0.0
61810,0.0
61851,0.0
61811,0.0
61826,0.0
61811,0.0
61804,0.0
61820,0.0
61855,0.0
61854,0.0
61804,0.0
61846,0.0
61733,0.0
61704,0.0
61676,0.0
61706,0.0
61677,0.0
61688,0.0
61706,0.0
61505,0.0
61525,0.0
61502,0.0
61485,0.0
61507,0.0
61494,0.0
61503,0.0
61484,0.0
61504,0.0
62355,0.0
62478,0.0
62350,0.0
62313,0.0
62377,0.0
62282,0.0
62358,0.0
62445,0.0
62525,0.0
62599,0.0
62656,0.0
62662,0.0
62552,0.0
62612,0.0
62614,0.0
62695,0.0
63093,0.0
63128,0.0
63099,0.0
63098,0.0
63104,0.0
63095,0.0
63086,0.0
63126,0.0
62971,0.0
63006,0.0
62992,0.0
62994,0.0
62975,0.0
62993,0.0
62962,0.0
63013,0.0
62968,0.0
62705,0.0
62746,0.0
62715,0.0
62754,0.0
62755,0.0
63144,0.0
63203,0.0
63177,0.0
63224,0.0
63226,0.0
63131,0.0
63224,0.0
63216,0.0
63157,0.0
63344,0.0
63349,0.0
63349,0.0
63342,0.0
63358,0.0
63354,0.0
63342,0.0
63364,0.0
63364,0.0
63368,0.0
63365,0.0
63890,0.0
63915,0.0
63908,0.0
63882,0.0
63876,0.0
63962,0.0
63900,0.0
63921,0.0
63917,0.0
63594,0.0
63683,0.0
63761,0.0
63734,0.0
63710,0.0
63577,0.0
63584,0.0
64172,0.0
64186,0.0
64178,0.0
64188,0.0
64166,0.0
64178,0.0
64141,0.0
64138,0.0
64177,0.0
64160,0.0
64119,0.0
64136,0.0
64117,0.0
64205,0.0
64198,0.0
64200,0.0
64210,0.0
64228,0.0
64215,0.0
64226,0.0
64197,0.0
64225,0.0
64198,0.0
64232,0.0
64280,0.0
64605,0.0
64595,0.0
64550,0.0
64549,0.0
64532,0.0
64607,0.0
64459,0.0
64469,0.0
64445,0.0
64506,0.0
64462,0.0
64467,0.0
64475,0.0
64461,0.0
64488,0.0
64708,0.0
64670,0.0
64671,0.0
64685,0.0
64686,0.0
64686,0.0
64699,0.0
64717,0.0
64682,0.0
64708,0.0
64678,0.0
64715,0.0
64691,0.0
74649,0.0
74697,0.0
74637,0.0
74668,0.0
74644,0.0
74623,0.0
74916,0.0
74929,0.0
74920,0.0
74974,0.0
74951,0.0
74973,0.0
75018,0.0
74977,0.0
75007,0.0
74513,0.0
74513,0.0
74518,0.0
74527,0.0
74512,0.0
74494,0.0
74507,0.0
74535,0.0
74357,0.0
74357,0.0
74277,0.0
74344,0.0
74340,0.0
74229,0.0
74182,0.0
74231,0.0
74250,0.0
74256,0.0
74207,0.0
74215,0.0
73831,0.0
73790,0.0
73898,0.0
73845,0.0
73897,0.0
73770,0.0
73852,0.0
73925,0.0
74148,0.0
74038,0.0
74066,0.0
74017,0.0
74046,0.0
74158,0.0
74045,0.0
74015,0.0
74106,0.0
74122,0.0
73414,0.0
73383,0.0
73325,0.0
73384,0.0
73410,0.0
73354,0.0
72950,0.0
72944,0.0
72943,0.0
72942,0.0
73001,0.0
72941,0.0
72951,0.0
72970,0.0
73066,0.0
73049,0.0
73050,0.0
73095,0.0
73046,0.0
73064,0.0
73009,0.0
73074,0.0
73003,0.0
73008,0.0
72607,0.0
72558,0.0
72517,0.0
72614,0.0
72490,0.0
72592,0.0
72482,0.0
72479,0.0
72662,0.0
72855,0.0
72769,0.0
72725,0.0
72776,0.0
72790,0.0
72838,0.0
72078,0.0
72134,0.0
72063,0.0
72099,0.0
72071,0.0
72129,0.0
72057,0.0
72099,0.0
72110,0.0
72108,0.0
72289,0.0
72459,0.0
72284,0.0
72385,0.0
72430,0.0
72444,0.0
72352,0.0
71757,0.0
71767,0.0
71815,0.0
71734,0.0
71740,0.0
71822,0.0
71782,0.0
71763,0.0
71470,0.0
71555,0.0
71466,0.0
71545,0.0
71555,0.0
71277,0.0
71204,0.0
71237,0.0
71210,0.0
71224,0.0
71291,0.0
71201,0.0
71218,0.0
71108,0.0
71123,0.0
71100,0.0
71098,0.0
71097,0.0
71102,0.0
71132,0.0
71144,0.0
71138,0.0
71130,0.0
71108,0.0
71124,0.0
71114,0.0
70783,0.0
70873,0.0
70807,0.0
70804,0.0
70869,0.0
70836,0.0
70822,0.0
70847,0.0
70877,0.0
70816,0.0
70860,0.0
70729,0.0
70747,0.0
70738,0.0
70739,0.0
70697,0.0
70725,0.0
70752,0.0
70755,0.0
70709,0.0
70687,0.0
70718,0.0
70764,0.0
70724,0.0
70720,0.0
70672,0.0
70169,0.0
70182,0.0
70222,0.0
70219,0.0
70158,0.0
70276,0.0
70315,0.0
70177,0.0
70069,0.0
70122,0.0
70078,0.0
68987,0.0
69029,0.0
69018,0.0
68958,0.0
68951,0.0
68907,0.0
68902,0.0
68970,0.0
68977,0.0
69011,0.0
69069,0.0
68599,0.0
68622,0.0
68648,0.0
68638,0.0
68597,0.0
68589,0.0
68228,0.0
68321,0.0
68302,0.0
68281,0.0
68324,0.0
